sCode                                              sParentCode                                        sDescription
ISSUER_BONDS                                       !CORP_GM                                           Собственные облигации
JIRA                                               !MON                                               Куб JIRA
LBRC                                               !RETAIL_LIAB                                       Пассивы ФЛ
LCC                                                !CORP_ASSET                                        Кредиты ЮЛ
LCC2                                               !CORP_ASSET                                        Кредиты ЮЛ v2
LCF                                                !RETAIL_TRN                                        Legacy фонд оплаты труда
LOC                                                !CORP_LIAB                                         Аккредитивы ЮЛ
LORO                                               !CORP_LIAB                                         ЛОРО-счета
LRC                                                !RETAIL_ASSET                                      Кредиты ФЛ
MARKET                                             !UFIP_SRV                                          Доли рынка
MBK                                                !CORP_GM                                           Межбанковские кредиты и депозиты
MC                                                 !SUMMARY_RPT                                       Управленческий куб
MIGRATION                                          !KERNEL                                            Перекладчик
MIS_OUT                                            !MIDDLEWARE                                        Интеграция транзитных витрин АХД с инфосервисами Платформы MIS
MIS2ALM                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в АС ALM
MIS2CCV                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в AC ALM для калькулятора CLTV ЮЛ
MIS2CIB                                            !MIDDLEWARE                                        Выгрузка данных по клиентам ЮЛ из MIS.PLT в КИБ CRM
MIS2COD                                            !MIDDLEWARE                                        Выгрузка данных по клиентам ЮЛ из MIS.PLT в ЦОД (Центр обработки данных)
MIS2CRC                                            !MIDDLEWARE                                        Выгрузка данных из Платформы MIS в АС Кредитные риски КИБ
MIS2FCS                                            !MIDDLEWARE                                        Выгрузка данных в АС ФК
MIS2KOS                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в АС Космос
MIS2PRM                                            !MIDDLEWARE                                        Выгрузка данных в АС PRIME
MIS2RCV                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в AC ALM для калькулятора CLTV ФЛ
MIS2SCP                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в АС Скоринговая платформа
MIS2UVZ                                            !MIDDLEWARE                                        Выгрузка данных из MIS.PLT в AC УВЗ
MIS3                                               !ARCH                                              Интеграционные настройки-1.1 Платформы MIS. ФП "ВД GreenPlum"
MIS3_BASE                                          !ARCH                                              Интеграционные настройки-1 Платформы MIS. ФП "Базовый модуль"
MIS3_OLAP                                          !ARCH                                              Интеграционные настройки-1.3 Платформы MIS. ФП "Многомерные данные"
MIS3_TD                                            !ARCH                                              Интеграционные настройки-1.2 Платформы MIS. ФП "ВД Teradata"
MIS3DEV                                            !ARCH                                              Интеграционные настройки-2.1 Лаборатории разработки Платформы MIS. ФП "ВД GreenPlum"
MIS3DEV_BASE                                       !ARCH                                              Интеграционные настройки-2 Лаборатории разработки Платформы MIS. ФП "Базовый модуль"
MIS3DEV_OLAP                                       !ARCH                                              Интеграционные настройки-2.3 Лаборатории разработки Платформы MIS. ФП "Многомерные данные"
MIS3DEV_TD                                         !ARCH                                              Интеграционные настройки-2.2 Лаборатории разработки Платформы MIS. ФП "ВД Teradata"
MISLAB                                             !ARCH                                              Интеграционные настройки-3 Лаборатории MIS
MRKENT                                             !CORP_CLIENT                                       Расчет продуктового проникновения
NAVY_MSR                                           !NAVY_SRV                                          Показатели отчетности, публикуемой в Навигаторе
NAVY2_MSR                                          !NAVY_SRV                                          Показатели отчетности, публикуемой в Навигаторе v2
NCF                                                !CORP_CLIENT                                       Некредитные комиссионные доходы, штрафы
