"scode","schaincode","sdescription"
MIS2CRC,!!CONS|!MIDDLEWARE|MIS2CRC,Выгрузка данных из Платформы MIS в АС Кредитные риски КИБ
MIS2FCS,!!CONS|!MIDDLEWARE|MIS2FCS,Выгрузка данных в АС ФК
MIS2KOS,!!CONS|!MIDDLEWARE|MIS2KOS,Выгрузка данных из MIS.PLT в АС Космос
MIS2RCV,!!CONS|!MIDDLEWARE|MIS2RCV,Выгрузка данных из MIS.PLT в AC ALM для калькулятора CLTV ФЛ
MIS2SCP,!!CONS|!MIDDLEWARE|MIS2SCP,Выгрузка данных из MIS.PLT в АС Скоринговая платформа
MIS2UVZ,!!CONS|!MIDDLEWARE|MIS2UVZ,Выгрузка данных из MIS.PLT в AC УВЗ
MIS3,!!BASE|!ARCH|MIS3,"Интеграционные настройки-1.1 Платформы MIS. ФП ""ВД GreenPlum"""
MIS3_TD,!!BASE|!ARCH|MIS3_TD,"Интеграционные настройки-1.2 Платформы MIS. ФП ""ВД Teradata"""
MIS3DEV,!!BASE|!ARCH|MIS3DEV,"Интеграционные настройки-2.1 Лаборатории разработки Платформы MIS. ФП ""ВД GreenPlum"""
MIS3DEV_BASE,!!BASE|!ARCH|MIS3DEV_BASE,"Интеграционные настройки-2 Лаборатории разработки Платформы MIS. ФП ""Базовый модуль"""
MIS3DEV_OLAP,!!BASE|!ARCH|MIS3DEV_OLAP,"Интеграционные настройки-2.3 Лаборатории разработки Платформы MIS. ФП ""Многомерные данные"""
MISLAB,!!BASE|!ARCH|MISLAB,Интеграционные настройки-3 Лаборатории MIS
MRKENT,!!CORP|!CORP_CLIENT|MRKENT,Расчет продуктового проникновения
NAVY_MSR,!!VIS|!NAVY_SRV|NAVY_MSR,"Показатели отчетности, публикуемой в Навигаторе"
NAVY2_MSR,!!VIS|!NAVY_SRV|NAVY2_MSR,"Показатели отчетности, публикуемой в Навигаторе v2"
NCF,!!CORP|!CORP_CLIENT|NCF,"Некредитные комиссионные доходы, штрафы"
NGLC,!!CONS|!SUMMARY_RPT|NGLC,Новый бухгалтерский куб и сводная ГБК
NOC,!!CONS|!SUMMARY_RPT|NOC,Новый оперативный куб
NPVDRC,!!CONS|!MIDDLEWARE|NPVDRC,Витрина данных калькулятора прогнозирования NPV по ВФЛ
NSI_TRS,!!BASE|!GRD|NSI_TRS,ГНСИ. Трансфертные ставки
